year,provider,mission_type,budget_billion,success_rate,country
2011,UAE,Manned,9.26,0.87,UAE
2020,China,Manned,46.28,0.53,China
2008,Japan,Unmanned,44.63,0.79,Japan
2024,UAE,Manned,30.89,0.88,UAE
2006,Japan,Manned,36.82,0.7,Japan
2019,Russia,Manned,45.07,0.65,Russia
2019,USA,Manned,35.64,0.52,USA
2001,Japan,Manned,29.09,0.51,Japan
2015,Israel,Unmanned,27.57,0.52,Israel
2016,ULA,Unmanned,40.93,0.87,Japan
2019,Russia,Unmanned,14.45,0.67,Russia
2017,ULA,Unmanned,11.46,0.82,UAE
2011,Japan,Manned,24.68,0.5,Japan
2024,Israel,Unmanned,35.81,0.95,Israel
2006,China,Manned,10.59,0.97,China
2018,UK,Unmanned,48.87,0.9,UK
2023,USA,Manned,15.26,0.96,USA
2013,Israel,Unmanned,3.43,0.7,Israel
2019,Russia,Unmanned,5.11,0.84,Russia
2018,Russia,Unmanned,17.93,0.91,Russia
2007,France,Manned,45.79,0.53,France
2014,USA,Manned,49.69,0.63,USA
2019,India,Unmanned,49.84,0.76,India
2013,India,Unmanned,48.6,0.67,India
2002,Germany,Unmanned,27.26,0.87,Germany
2014,Israel,Manned,4.22,0.94,Israel
2005,USA,Manned,10.0,0.81,USA
2010,Russia,Unmanned,9.45,0.65,Russia
2022,ULA,Manned,21.33,0.74,UAE
2020,UK,Manned,11.89,0.88,UK
2004,France,Unmanned,2.65,0.69,France
2009,USA,Manned,47.83,0.62,USA
2003,UAE,Manned,33.6,0.96,UAE
2007,Germany,Unmanned,12.09,0.74,Germany
2008,USA,Unmanned,26.18,0.59,USA
2005,UAE,Manned,42.47,1.0,UAE
2023,Israel,Manned,38.46,0.92,Israel
2018,Russia,Unmanned,32.94,0.74,Russia
2012,USA,Manned,1.11,1.0,USA
2022,Russia,Manned,39.16,0.89,Russia
2023,Germany,Unmanned,49.16,0.97,Germany
2017,Germany,Unmanned,8.76,0.55,Germany
2025,USA,Manned,22.04,0.99,USA
2000,Germany,Unmanned,15.75,0.53,Germany
2016,UAE,Manned,37.24,1.0,UAE
2000,UAE,Unmanned,45.41,0.66,UAE
2020,France,Manned,42.96,0.92,France
2018,USA,Unmanned,47.97,0.64,USA
2003,Israel,Unmanned,33.92,0.66,Israel
2023,China,Manned,24.96,0.74,China
2006,USA,Manned,45.59,0.97,USA
2004,Russia,Manned,15.25,0.77,Russia
2010,India,Unmanned,18.49,0.67,India
2006,Israel,Manned,22.83,0.65,Israel
2017,France,Unmanned,41.12,0.64,France
2020,USA,Manned,15.42,0.67,USA
2013,USA,Manned,9.28,0.55,USA
2022,Russia,Manned,30.17,0.6,Russia
2011,Japan,Unmanned,41.91,0.77,Japan
2016,France,Unmanned,39.79,0.68,France
2007,France,Manned,48.56,0.71,France
2009,UK,Unmanned,44.69,0.72,UK
2009,China,Manned,22.14,0.68,China
2011,USA,Manned,22.91,0.56,USA
2013,India,Manned,13.92,0.94,India
2012,UAE,Unmanned,39.63,0.72,UAE
2014,India,Manned,5.06,0.76,India
2020,Russia,Unmanned,42.62,0.51,Russia
2023,Japan,Unmanned,34.31,0.55,Japan
2024,Japan,Manned,40.1,0.7,Japan
2013,France,Manned,44.24,0.59,France
2005,Germany,Unmanned,39.59,0.81,Germany
2021,Japan,Manned,21.71,0.75,Japan
2005,UAE,Unmanned,35.43,0.85,UAE
2003,China,Unmanned,15.78,0.6,China
2005,UK,Unmanned,23.84,0.74,UK
2010,UK,Unmanned,13.0,0.71,UK
2010,Japan,Manned,25.11,0.68,Japan
2022,USA,Unmanned,49.16,0.71,USA
2003,USA,Unmanned,46.87,0.56,USA
2004,UK,Manned,39.11,0.64,UK
2009,Israel,Manned,3.82,0.63,Israel
2014,Israel,Manned,6.79,0.6,Israel
2009,UK,Manned,40.54,0.88,UK
2019,UK,Unmanned,3.25,0.86,UK
2007,UAE,Unmanned,9.14,0.84,UAE
2011,UK,Manned,3.12,0.66,UK
2017,China,Unmanned,35.89,0.86,China
2003,Russia,Unmanned,11.04,0.52,Russia
2015,UAE,Manned,6.15,0.96,UAE
2000,Japan,Unmanned,38.8,0.52,Japan
2000,Japan,Manned,38.87,0.82,Japan
2012,Israel,Unmanned,39.44,0.91,Israel
2015,USA,Unmanned,1.02,0.67,USA
2019,Japan,Manned,26.23,0.66,Japan
2017,ULA,Manned,11.62,0.89,China
2000,China,Unmanned,26.49,0.78,China
2020,USA,Manned,35.23,0.98,USA
2000,USA,Manned,30.08,0.99,USA
2012,China,Unmanned,7.7,0.54,China
2004,USA,Unmanned,12.61,0.89,USA
2002,Israel,Manned,27.49,0.51,Israel
2014,UK,Manned,30.56,0.53,UK
2001,UK,Unmanned,39.74,0.51,UK
2019,France,Unmanned,19.91,0.6,France
2020,USA,Unmanned,9.2,0.56,USA
2023,Israel,Unmanned,32.32,0.94,Israel
2022,France,Manned,22.57,0.78,France
2022,Japan,Manned,42.19,0.81,Japan
2007,Russia,Unmanned,26.88,0.94,Russia
2010,Israel,Unmanned,28.19,0.53,Israel
2011,Israel,Unmanned,33.77,0.55,Israel
2014,Israel,Manned,10.51,1.0,Israel
2008,China,Unmanned,48.65,0.88,China
2023,Israel,Manned,5.38,0.82,Israel
2023,Israel,Unmanned,30.12,0.59,Israel
2006,India,Unmanned,24.58,0.57,India
2015,France,Unmanned,24.56,0.54,France
2017,France,Manned,15.75,0.59,France
2007,India,Manned,36.49,0.64,India
2012,Israel,Unmanned,34.49,0.65,Israel
2016,China,Manned,8.61,0.84,China
2005,Israel,Manned,7.61,0.59,Israel
2019,Russia,Manned,29.88,0.63,Russia
2024,India,Unmanned,7.01,0.77,India
2025,China,Unmanned,49.54,0.67,China
2002,Japan,Unmanned,43.48,0.57,Japan
2009,China,Manned,48.76,0.7,China
2009,Russia,Unmanned,31.18,0.81,Russia
2019,ULA,Unmanned,19.78,0.82,China
2000,Israel,Manned,48.38,0.94,Israel
2020,UAE,Manned,15.15,0.55,UAE
2003,Japan,Manned,6.82,0.65,Japan
2014,UK,Manned,49.48,0.84,UK
2010,India,Unmanned,5.77,0.5,India
2019,USA,Unmanned,38.49,0.77,USA
2011,Japan,Manned,27.97,0.74,Japan
2000,France,Unmanned,2.62,0.9,France
2005,China,Unmanned,41.56,0.53,China
2009,India,Manned,33.21,0.94,India
2021,UAE,Manned,42.42,0.84,UAE
2019,Russia,Manned,23.09,0.56,Russia
2019,India,Unmanned,32.23,0.54,India
2006,Russia,Unmanned,16.94,0.68,Russia
2019,USA,Manned,11.69,0.69,USA
2020,USA,Manned,36.3,0.73,USA
2018,China,Unmanned,31.64,0.9,China
2002,Israel,Manned,29.51,0.64,Israel
2005,Russia,Manned,7.85,0.67,Russia
2003,China,Manned,16.85,0.77,China
2018,China,Unmanned,37.81,0.68,China
2015,UAE,Manned,20.59,0.73,UAE
2018,Israel,Manned,42.07,0.98,Israel
2017,USA,Manned,2.07,0.81,USA
2012,Israel,Manned,24.71,0.79,Israel
2019,France,Manned,4.23,0.74,France
2001,USA,Unmanned,15.45,0.87,USA
2002,UAE,Manned,18.72,0.82,UAE
2019,UK,Unmanned,27.17,0.97,UK
2012,UK,Unmanned,27.86,0.65,UK
2011,China,Manned,43.81,0.64,China
2015,Israel,Manned,28.57,0.61,Israel
2004,UK,Manned,48.65,0.94,UK
2003,UAE,Unmanned,45.73,0.57,UAE
2013,UK,Manned,13.04,0.85,UK
2001,Russia,Unmanned,40.14,0.9,Russia
2011,UK,Manned,35.02,0.76,UK
2015,India,Manned,4.4,0.59,India
2011,UK,Manned,17.51,0.65,UK
2024,Israel,Manned,40.42,0.71,Israel
2013,Germany,Manned,48.49,0.59,Germany
2009,Germany,Unmanned,13.76,0.98,Germany
2008,Russia,Unmanned,7.41,0.56,Russia
2005,Japan,Manned,25.47,0.86,Japan
2011,India,Unmanned,3.48,0.81,India
2021,France,Unmanned,26.03,0.94,France
2000,Israel,Unmanned,25.31,0.61,Israel
2011,USA,Manned,14.29,0.68,USA
2015,UK,Manned,21.08,0.74,UK
2017,Japan,Manned,9.72,0.88,Japan
2008,UAE,Manned,3.06,0.74,UAE
2001,UK,Unmanned,3.75,0.93,UK
2015,Japan,Unmanned,42.87,0.91,Japan
2010,India,Manned,24.58,0.57,India
2013,Russia,Manned,42.19,0.81,Russia
2002,France,Unmanned,2.22,0.75,France
2005,UK,Manned,12.31,0.96,UK
2011,Germany,Unmanned,10.49,0.9,Germany
2024,Russia,Unmanned,25.46,0.92,Russia
2013,UAE,Unmanned,6.98,0.87,UAE
2012,Israel,Unmanned,6.43,0.79,Israel
2023,Russia,Unmanned,34.84,0.5,Russia
2022,Israel,Manned,47.95,0.92,Israel
2000,Japan,Manned,38.57,0.63,Japan
2002,UAE,Unmanned,5.97,0.59,UAE
2011,USA,Manned,11.47,0.65,USA
2016,Israel,Manned,19.33,0.8,Israel
2012,France,Manned,40.6,0.78,France
2002,Russia,Unmanned,33.87,0.77,Russia
2000,UAE,Unmanned,18.06,0.97,UAE
2011,UAE,Unmanned,6.72,0.86,UAE
2022,UAE,Manned,43.91,0.89,UAE
2017,Israel,Unmanned,34.39,0.54,Israel
2009,China,Manned,12.49,0.88,China
2024,Israel,Unmanned,48.48,0.99,Israel
2010,Israel,Unmanned,31.12,0.53,Israel
2015,India,Manned,0.82,0.94,India
2008,Japan,Unmanned,20.89,0.99,Japan
2016,USA,Manned,29.44,0.93,USA
2015,India,Manned,20.7,0.91,India
2010,France,Manned,17.05,0.76,France
2001,India,Unmanned,8.44,0.85,India
2007,China,Unmanned,24.79,0.52,China
2021,UK,Unmanned,29.77,0.79,UK
2024,ULA,Unmanned,26.97,0.96,China
2010,UAE,Unmanned,30.43,0.6,UAE
2001,Japan,Manned,22.1,0.66,Japan
2005,India,Unmanned,13.45,0.84,India
2001,Germany,Unmanned,30.5,0.51,Germany
2009,Israel,Manned,41.64,0.86,Israel
2013,UK,Unmanned,10.31,0.58,UK
2020,Israel,Manned,40.73,0.99,Israel
2003,China,Manned,22.79,0.67,China
2017,Israel,Manned,36.02,0.99,Israel
2010,India,Unmanned,34.76,0.81,India
2020,UK,Manned,12.54,0.54,UK
2006,UAE,Unmanned,37.18,0.64,UAE
2017,France,Manned,40.42,0.91,France
2004,Germany,Unmanned,3.79,0.7,Germany
2007,Japan,Unmanned,6.06,0.61,Japan
2013,USA,Unmanned,35.67,0.78,USA
2008,India,Manned,29.11,0.8,India
2016,India,Manned,44.75,0.62,India
2022,Israel,Manned,4.37,0.6,Israel
2020,China,Unmanned,6.48,0.5,China
2015,Russia,Manned,12.24,0.98,Russia
2022,Japan,Manned,34.62,0.52,Japan
2008,Israel,Unmanned,24.79,0.71,Israel
2004,China,Manned,23.85,0.57,China
2009,UAE,Manned,12.84,0.76,UAE
2017,Russia,Unmanned,36.38,0.84,Russia
2022,Japan,Unmanned,41.28,0.51,Japan
2015,India,Unmanned,23.52,0.7,India
2009,Russia,Manned,33.18,0.99,Russia
2001,Russia,Manned,2.62,0.97,Russia
2016,China,Unmanned,39.68,0.84,China
2019,UK,Unmanned,11.37,0.92,UK
2009,France,Unmanned,48.67,0.88,France
2002,China,Unmanned,17.54,0.82,China
2012,Japan,Unmanned,24.96,0.67,Japan
2005,Israel,Unmanned,0.8,0.81,Israel
2010,Germany,Unmanned,28.21,0.7,Germany
2012,India,Manned,8.34,1.0,India
2013,China,Manned,33.83,0.83,China
2015,ULA,Manned,40.44,0.99,Japan
2013,Germany,Unmanned,14.64,0.65,Germany
2013,Japan,Manned,14.82,0.96,Japan
2019,UAE,Manned,20.84,0.76,UAE
2000,Russia,Manned,21.25,0.61,Russia
2010,ULA,Manned,20.98,0.54,France
2023,France,Manned,41.27,0.69,France
2008,Russia,Manned,42.85,0.94,Russia
2006,India,Manned,10.8,0.67,India
2010,USA,Manned,12.55,0.6,USA
2024,UAE,Unmanned,23.98,0.59,UAE
2006,China,Unmanned,28.13,0.52,China
2014,UAE,Unmanned,43.49,0.63,UAE
2023,Russia,Unmanned,33.0,0.86,Russia
2011,Russia,Manned,38.13,1.0,Russia
2009,USA,Manned,34.66,0.82,USA
2018,UK,Unmanned,29.46,0.5,UK
2019,France,Unmanned,24.32,0.89,France
2006,China,Unmanned,27.28,0.69,China
2002,UK,Manned,25.41,1.0,UK
2012,USA,Manned,36.51,0.83,USA
2021,UAE,Unmanned,6.01,0.52,UAE
2018,Russia,Unmanned,48.7,0.94,Russia
2004,China,Manned,30.99,0.58,China
2005,Japan,Manned,20.47,0.98,Japan
2022,Russia,Manned,13.26,0.61,Russia
2024,Germany,Manned,37.06,0.73,Germany
2016,Israel,Manned,21.39,0.91,Israel
2006,Germany,Unmanned,30.08,0.53,Germany
2016,Russia,Manned,40.12,0.87,Russia
2004,USA,Manned,42.75,0.78,USA
2012,China,Unmanned,30.02,0.8,China
2023,France,Unmanned,43.75,0.66,France
2010,Japan,Unmanned,48.61,1.0,Japan
2021,India,Manned,37.3,0.5,India
2020,India,Unmanned,16.09,0.6,India
2021,UK,Manned,14.22,0.9,UK
2006,Germany,Manned,16.73,0.67,Germany
2005,UK,Manned,1.42,0.59,UK
2021,India,Unmanned,46.89,0.51,India
2015,UK,Unmanned,33.93,0.91,UK
2021,UAE,Unmanned,21.65,0.93,UAE
2011,Russia,Manned,4.16,0.56,Russia
2006,Russia,Unmanned,5.9,0.94,Russia
2024,USA,Unmanned,41.14,0.96,USA
2021,India,Unmanned,15.88,0.66,India
2024,UK,Unmanned,36.05,0.61,UK
2007,USA,Manned,13.06,1.0,USA
2014,Germany,Unmanned,24.52,0.59,Germany
2017,India,Manned,20.6,0.93,India
2017,USA,Manned,49.09,0.77,USA
2023,Germany,Unmanned,43.91,0.99,Germany
2010,India,Unmanned,11.57,0.5,India
2005,Israel,Unmanned,17.58,0.88,Israel
2003,India,Manned,26.14,0.87,India
2010,China,Manned,19.39,0.72,China
2023,USA,Manned,23.43,0.76,USA
2011,Germany,Unmanned,11.74,0.91,Germany
2017,UK,Unmanned,28.87,0.88,UK
2014,UK,Unmanned,18.62,0.67,UK
2012,Russia,Unmanned,45.5,0.85,Russia
2022,China,Manned,14.93,0.9,China
2020,Russia,Manned,19.88,0.92,Russia
2006,Germany,Manned,26.81,0.84,Germany
2001,Japan,Unmanned,14.29,0.87,Japan
2007,Japan,Unmanned,2.8,0.62,Japan
2010,India,Unmanned,29.12,0.72,India
2010,China,Manned,1.68,0.54,China
2018,Russia,Unmanned,6.44,0.84,Russia
2020,Israel,Manned,27.09,0.63,Israel
2010,India,Unmanned,49.81,0.98,India
2015,Israel,Manned,28.65,0.75,Israel
2020,India,Unmanned,9.42,0.86,India
2025,UAE,Manned,20.13,0.92,UAE
2001,France,Manned,28.65,0.57,France
2016,China,Manned,6.32,0.91,China
2020,Japan,Unmanned,44.98,0.91,Japan
2001,China,Manned,4.17,0.75,China
2011,Germany,Manned,45.8,0.61,Germany
2014,USA,Unmanned,11.02,0.84,USA
2010,UK,Manned,11.43,0.64,UK
2024,UK,Unmanned,31.07,0.76,UK
2008,France,Manned,18.33,0.88,France
2012,Israel,Manned,26.09,0.65,Israel
2015,France,Manned,49.6,0.7,France
2019,UAE,Unmanned,7.97,0.83,UAE
2000,ULA,Unmanned,4.32,0.69,Japan
2019,Japan,Manned,46.3,0.62,Japan
2023,France,Unmanned,48.26,0.9,France
2011,USA,Unmanned,11.21,0.75,USA
2011,Japan,Unmanned,43.06,0.92,Japan
2024,UK,Unmanned,31.83,0.72,UK
2023,Israel,Manned,43.64,0.96,Israel
2007,UAE,Manned,14.7,0.87,UAE
2014,France,Manned,30.88,0.67,France
2001,UK,Unmanned,14.49,0.76,UK
2017,Israel,Unmanned,6.14,0.82,Israel
2018,China,Unmanned,48.72,0.61,China
2008,India,Manned,7.76,0.51,India
2010,USA,Unmanned,44.97,0.93,USA
2017,Germany,Manned,25.63,0.52,Germany
2018,France,Manned,22.08,0.89,France
2020,France,Unmanned,33.13,0.55,France
2015,Israel,Manned,15.58,0.85,Israel
2010,France,Unmanned,29.92,0.87,France
2015,Japan,Unmanned,25.68,0.85,Japan
2016,Japan,Unmanned,32.73,0.96,Japan
2025,India,Manned,7.19,0.97,India
2015,UAE,Unmanned,32.22,0.66,UAE
2013,China,Unmanned,24.62,0.92,China
2004,Russia,Manned,49.87,0.76,Russia
2004,Japan,Manned,2.61,0.73,Japan
2016,Israel,Unmanned,9.78,0.88,Israel
2013,India,Manned,44.73,0.94,India
2001,Israel,Unmanned,20.44,0.61,Israel
2010,Israel,Unmanned,22.24,0.93,Israel
2001,UK,Unmanned,23.48,1.0,UK
2020,China,Unmanned,25.34,0.67,China
2009,Japan,Manned,1.57,0.88,Japan
2023,France,Unmanned,12.75,0.82,France
2002,ULA,Manned,19.38,0.97,UK
2011,Japan,Manned,6.67,0.83,Japan
2008,India,Manned,46.47,0.62,India
2014,Germany,Unmanned,13.91,0.97,Germany
2007,UAE,Manned,23.12,0.91,UAE
2018,China,Manned,34.4,0.97,China
2015,Israel,Unmanned,7.63,1.0,Israel
2018,China,Manned,37.31,0.76,China
2016,UAE,Unmanned,11.11,0.63,UAE
2010,Russia,Unmanned,30.77,0.99,Russia
2021,Russia,Unmanned,37.46,0.89,Russia
2006,Japan,Unmanned,9.19,0.53,Japan
2019,France,Manned,19.48,0.98,France
2014,Japan,Unmanned,19.61,0.88,Japan
2023,Israel,Manned,36.58,0.72,Israel
2005,India,Unmanned,28.33,0.62,India
2016,Japan,Unmanned,13.2,0.94,Japan
2023,China,Unmanned,14.75,0.69,China
2014,USA,Unmanned,46.97,0.68,USA
2009,China,Unmanned,13.57,0.82,China
2016,Israel,Manned,42.56,1.0,Israel
2023,UK,Unmanned,8.05,0.91,UK
2008,China,Manned,24.31,0.54,China
2025,Israel,Manned,41.36,0.84,Israel
2014,USA,Unmanned,45.13,0.76,USA
2002,Russia,Manned,36.15,0.78,Russia
2001,Russia,Manned,20.62,0.67,Russia
2011,India,Unmanned,17.99,0.92,India
2017,Japan,Unmanned,4.05,0.55,Japan
2002,Germany,Manned,27.68,0.98,Germany
2008,India,Manned,24.7,0.86,India
2016,UK,Unmanned,19.43,0.81,UK
2003,France,Unmanned,32.67,0.92,France
2005,India,Manned,31.61,0.55,India
2007,UK,Unmanned,28.92,0.8,UK
2000,India,Manned,36.55,0.95,India
2022,Germany,Manned,11.42,0.72,Germany
2015,Russia,Manned,10.89,0.87,Russia
2000,Germany,Manned,25.59,0.73,Germany
2016,Japan,Unmanned,28.33,0.76,Japan
2022,Germany,Manned,18.66,0.62,Germany
2006,Japan,Unmanned,43.54,0.56,Japan
2012,Israel,Unmanned,38.52,0.59,Israel
2024,USA,Manned,2.2,0.62,USA
2016,UK,Manned,41.76,0.54,UK
2011,Japan,Manned,2.77,0.82,Japan
2002,China,Manned,21.87,0.74,China
2002,Israel,Unmanned,36.33,0.83,Israel
2001,USA,Unmanned,41.31,0.51,USA
2017,Germany,Unmanned,25.75,0.87,Germany
2008,UAE,Manned,36.69,0.74,UAE
2025,Japan,Unmanned,36.85,0.66,Japan
2015,India,Manned,33.01,0.6,India
2003,USA,Manned,2.17,0.81,USA
2024,USA,Unmanned,38.94,0.63,USA
2017,India,Manned,42.38,0.99,India
2000,France,Manned,8.15,0.64,France
2002,UK,Unmanned,3.65,0.57,UK
2017,Japan,Manned,46.67,0.62,Japan
2007,Russia,Manned,29.92,0.74,Russia
2001,Japan,Manned,6.2,0.74,Japan
2003,France,Manned,2.22,0.94,France
2006,USA,Unmanned,37.84,1.0,USA
2010,France,Unmanned,33.9,0.73,France
2002,Japan,Unmanned,37.06,0.65,Japan
2021,India,Unmanned,26.14,1.0,India
2008,UK,Manned,25.41,0.96,UK
2016,India,Manned,7.42,0.51,India
2004,China,Manned,3.98,0.92,China
2009,India,Unmanned,23.12,0.75,India
2009,Russia,Unmanned,30.07,0.92,Russia
2004,India,Manned,13.75,0.58,India
2014,France,Unmanned,19.44,0.86,France
2004,UAE,Manned,46.23,0.58,UAE
2001,India,Manned,30.67,0.57,India
2018,UAE,Manned,25.86,0.92,UAE
2024,India,Manned,40.9,0.53,India
2014,France,Unmanned,33.88,0.72,France
2002,UK,Unmanned,15.79,0.71,UK
2012,France,Manned,36.32,0.59,France
2010,Japan,Manned,49.93,0.5,Japan
2005,Germany,Manned,45.21,0.74,Germany
2008,UK,Unmanned,26.76,0.57,UK
2003,China,Manned,8.9,0.68,China
2011,China,Unmanned,17.31,0.92,China
2002,Israel,Unmanned,14.73,0.97,Israel
2004,UAE,Manned,43.55,0.67,UAE
2014,Japan,Manned,31.66,0.89,Japan
2002,Israel,Manned,38.45,0.81,Israel
2005,Japan,Manned,46.01,0.58,Japan
2001,Russia,Manned,14.08,0.67,Russia
2009,Israel,Manned,9.95,0.54,Israel
2017,Japan,Unmanned,3.54,0.93,Japan
2010,USA,Manned,8.54,0.69,USA
2014,Japan,Unmanned,41.14,0.84,Japan
2025,UAE,Manned,6.0,0.6,UAE
2000,India,Manned,20.12,0.67,India
2022,Israel,Manned,7.36,0.75,Israel
2013,Japan,Manned,10.21,0.76,Japan
2023,UK,Manned,42.96,0.55,UK
2014,USA,Manned,18.5,0.67,USA
2003,China,Unmanned,7.97,0.92,China
2014,UAE,Manned,7.02,0.5,UAE
2003,India,Unmanned,3.71,1.0,India
2014,Japan,Unmanned,32.81,0.6,Japan
2003,Japan,Unmanned,12.93,0.84,Japan
2008,USA,Manned,14.75,0.74,USA
2016,ULA,Manned,7.41,0.86,Germany
2008,France,Manned,22.17,0.93,France
2018,UK,Unmanned,33.85,0.95,UK
2014,India,Unmanned,20.38,0.71,India
2011,Israel,Unmanned,12.98,0.64,Israel
2020,UAE,Manned,44.67,0.81,UAE
2012,Israel,Unmanned,3.43,0.68,Israel
2018,Israel,Manned,28.73,0.68,Israel
2021,UAE,Manned,22.58,0.71,UAE
2022,Japan,Unmanned,17.02,0.87,Japan
2023,Russia,Unmanned,47.22,0.92,Russia
2002,USA,Manned,24.62,0.69,USA
2022,Israel,Manned,13.34,0.82,Israel
2003,India,Unmanned,39.01,0.82,India
2000,China,Unmanned,46.43,0.86,China
2012,UAE,Unmanned,11.94,1.0,UAE
2023,USA,Manned,36.33,0.94,USA
2008,France,Unmanned,34.62,0.97,France
2024,Japan,Unmanned,35.88,0.93,Japan
2021,UK,Unmanned,20.0,1.0,UK
2011,Israel,Unmanned,1.34,0.85,Israel
2022,Israel,Unmanned,8.81,0.78,Israel
2018,Germany,Unmanned,20.61,0.8,Germany
2007,UAE,Manned,40.75,0.87,UAE
2008,France,Manned,2.9,0.75,France
2017,USA,Manned,12.45,0.91,USA
2021,China,Unmanned,44.78,0.78,China
2007,Russia,Manned,31.73,0.56,Russia
2008,USA,Manned,26.5,0.94,USA
2005,Japan,Manned,14.25,0.78,Japan
2001,UAE,Manned,8.12,0.58,UAE
2010,ULA,Unmanned,22.39,0.91,UAE
2013,USA,Manned,40.82,0.75,USA
2010,Germany,Unmanned,48.04,0.66,Germany
2023,Japan,Manned,12.75,0.69,Japan
2018,UAE,Unmanned,5.59,0.61,UAE
2000,UAE,Unmanned,47.78,0.72,UAE
2010,UK,Manned,10.56,0.78,UK
2002,UK,Manned,13.47,0.54,UK
2006,UAE,Manned,28.26,0.87,UAE
2024,China,Unmanned,4.31,0.96,China
2025,UK,Manned,45.33,0.54,UK
2023,USA,Manned,46.87,0.57,USA
2022,Germany,Unmanned,41.63,0.57,Germany
2018,China,Manned,24.84,0.7,China
2005,UK,Unmanned,20.11,0.66,UK
2018,Russia,Manned,31.76,0.61,Russia
2019,Germany,Unmanned,39.19,0.74,Germany
2021,India,Unmanned,8.92,0.84,India
2017,France,Manned,29.35,0.76,France
2014,China,Unmanned,22.0,0.79,China
2001,Japan,Manned,8.26,0.54,Japan
2015,Israel,Manned,0.82,0.76,Israel
2002,Germany,Manned,31.84,0.9,Germany
2010,Russia,Manned,30.09,0.7,Russia
2016,UAE,Unmanned,36.21,0.93,UAE
2018,India,Unmanned,44.05,0.56,India
2010,France,Unmanned,29.49,0.97,France
2012,France,Manned,30.26,0.96,France
2011,Germany,Manned,15.23,0.7,Germany
2025,China,Unmanned,18.39,0.89,China
2008,China,Unmanned,29.35,0.77,China
2018,UK,Manned,41.18,0.98,UK
2015,Japan,Manned,31.88,0.77,Japan
2022,France,Manned,28.06,0.52,France
2005,China,Manned,11.64,0.74,China
2010,Russia,Unmanned,21.23,0.61,Russia
2013,France,Unmanned,35.37,0.93,France
2019,Japan,Unmanned,30.97,0.61,Japan
2006,Germany,Manned,46.78,0.75,Germany
2010,India,Manned,8.01,0.86,India
2010,UAE,Manned,16.14,1.0,UAE
2016,Russia,Manned,35.46,0.62,Russia
2002,China,Manned,12.19,0.56,China
2010,UAE,Manned,5.73,0.7,UAE
2016,Japan,Unmanned,28.75,0.92,Japan
2014,Japan,Manned,49.71,0.95,Japan
2004,France,Manned,30.49,0.76,France
2011,USA,Manned,1.08,0.5,USA
2001,UAE,Unmanned,41.11,0.88,UAE
2008,Russia,Manned,37.25,0.54,Russia
2010,Germany,Manned,39.96,0.77,Germany
2025,China,Unmanned,12.25,0.92,China
2015,UAE,Manned,10.65,0.61,UAE
2010,Russia,Unmanned,9.17,0.5,Russia
2014,China,Unmanned,8.68,0.64,China
2024,Israel,Manned,20.72,0.98,Israel
2000,Russia,Unmanned,0.86,0.74,Russia
2009,India,Unmanned,5.44,0.6,India
2008,India,Unmanned,46.33,1.0,India
2005,Germany,Unmanned,45.54,0.61,Germany
2001,Japan,Manned,35.5,0.73,Japan
2012,Germany,Unmanned,1.2,0.76,Germany
2011,UAE,Manned,48.21,0.77,UAE
2002,France,Unmanned,19.82,0.74,France
2024,UK,Unmanned,48.74,0.5,UK
2021,Germany,Manned,26.93,0.9,Germany
2021,Israel,Manned,40.74,0.7,Israel
2014,UK,Unmanned,44.61,0.53,UK
2015,USA,Unmanned,2.32,0.66,USA
2014,India,Unmanned,34.88,0.92,India
2005,India,Manned,37.95,0.8,India
2003,Japan,Manned,46.56,0.52,Japan
2022,India,Unmanned,41.02,0.8,India
2003,Israel,Unmanned,46.42,0.81,Israel
2021,USA,Unmanned,40.57,0.56,USA
2011,China,Manned,34.05,0.79,China
2017,India,Unmanned,31.06,0.73,India
2006,USA,Unmanned,36.62,0.6,USA
2008,India,Unmanned,46.68,0.94,India
2000,Germany,Unmanned,18.41,0.96,Germany
2009,Israel,Manned,16.48,0.55,Israel
2021,UK,Unmanned,6.78,0.82,UK
2019,UK,Unmanned,33.61,0.8,UK
2008,Israel,Manned,16.2,0.59,Israel
2007,Israel,Manned,23.13,0.59,Israel
2004,USA,Unmanned,27.27,0.96,USA
2003,USA,Manned,4.11,0.96,USA
2007,Japan,Unmanned,3.34,0.61,Japan
2007,China,Unmanned,13.13,0.54,China
2011,Russia,Unmanned,29.88,0.54,Russia
2021,UAE,Manned,31.25,0.97,UAE
2013,UK,Unmanned,24.26,0.62,UK
2006,UAE,Unmanned,23.79,0.86,UAE
2017,UK,Manned,15.95,0.77,UK
2000,Germany,Manned,30.99,0.51,Germany
2002,UK,Manned,42.62,0.78,UK
2024,Russia,Unmanned,25.43,0.89,Russia
2011,USA,Unmanned,29.61,0.86,USA
2024,France,Manned,8.33,0.88,France
2012,USA,Manned,42.06,0.87,USA
2004,China,Unmanned,18.46,0.6,China
2024,Russia,Manned,17.66,0.53,Russia
2004,India,Manned,19.38,0.73,India
2025,Israel,Manned,35.1,0.73,Israel
2018,UAE,Manned,18.62,0.52,UAE
2009,Russia,Unmanned,38.03,0.61,Russia
2001,USA,Unmanned,9.42,0.83,USA
2002,Germany,Unmanned,25.3,0.95,Germany
2024,USA,Manned,48.15,0.95,USA
2018,UAE,Unmanned,32.3,0.86,UAE
2013,Israel,Manned,21.67,0.78,Israel
